stock,price down,stock price at N,time N,stock price at M,time M,closing price now
AFG,-0.7341373903012118,146.67999267578125,"03/23/2022, 10:38:00",144.02999877929688,"03/23/2022, 09:35:00",146.2550048828125
AGM,-0.7222301581288841,118.7300033569336,"03/23/2022, 09:30:00",117.54499816894531,"03/23/2022, 11:15:00",117.54499816894531
AES,-0.7065883047584809,23.690000534057617,"03/23/2022, 09:35:00",23.387100219726562,"03/23/2022, 10:23:00",23.65999984741211
ACN,-0.7043426556934737,326.94000244140625,"03/23/2022, 10:20:00",322.3299865722656,"03/23/2022, 09:36:00",325.5
ABM,-0.7032330235201092,45.15999984741211,"03/23/2022, 09:30:00",44.66999816894531,"03/23/2022, 09:35:00",45.060001373291016
AEP,-0.7026093366956926,96.19999694824219,"03/23/2022, 09:52:00",95.05000305175781,"03/23/2022, 11:22:00",95.10199737548828
ABBV,-0.6717382531815044,161.1649932861328,"03/23/2022, 09:49:00",159.63999938964844,"03/23/2022, 10:58:00",159.8800048828125
ACEL,-0.6273639699129958,13.079999923706055,"03/23/2022, 11:05:00",12.920000076293945,"03/23/2022, 09:30:00",13.0600004196167
AGR,-0.6259824399594911,45.0,"03/23/2022, 09:30:00",44.58250045776367,"03/23/2022, 10:42:00",44.59000015258789
ABC,-0.5569279175344368,152.55999755859375,"03/23/2022, 09:30:00",151.1999969482422,"03/23/2022, 10:58:00",151.6699981689453
AFGB,-0.5375451412139152,25.299999237060547,"03/23/2022, 11:10:06",25.030000686645508,"03/23/2022, 10:02:00",25.299999237060547
AEG,-0.5029246984442796,5.244999885559082,"03/23/2022, 10:24:00",5.184999942779541,"03/23/2022, 09:49:00",5.206600189208984
AGO,-0.4478289030488334,62.98500061035156,"03/23/2022, 10:21:00",62.209999084472656,"03/23/2022, 09:30:00",62.73249816894531
ACV,-0.44352144641877184,25.31999969482422,"03/23/2022, 09:44:00",25.06999969482422,"03/23/2022, 10:13:00",25.209999084472656
AFB,-0.4199540865402839,12.760000228881836,"03/23/2022, 10:59:00",12.674699783325195,"03/23/2022, 09:31:00",12.760000228881836
AGX,-0.4033123968419555,40.130001068115234,"03/23/2022, 10:39:00",39.72999954223633,"03/23/2022, 11:27:17",39.72999954223633
AFL,-0.371852832440236,64.45999908447266,"03/23/2022, 10:06:00",63.9900016784668,"03/23/2022, 11:23:00",64.05999755859375
ABB,-0.36458310224901463,35.060001373291016,"03/23/2022, 11:26:37",34.71500015258789,"03/23/2022, 09:45:00",35.060001373291016
AEL,-0.36286300550483896,41.00749969482422,"03/23/2022, 10:14:00",40.65999984741211,"03/23/2022, 09:30:00",41.0
AFT,-0.3507690966004132,14.729999542236328,"03/23/2022, 10:15:00",14.600000381469727,"03/23/2022, 09:30:00",14.652099609375
AGD,-0.2951029816978395,11.029999732971191,"03/23/2022, 10:31:00",10.989999771118164,"03/23/2022, 10:15:00",11.029999732971191
ACRE,-0.2857548932283422,15.279999732971191,"03/23/2022, 09:30:00",15.199999809265137,"03/23/2022, 09:48:00",15.270000457763672
AEE,-0.24683864767050234,88.91999816894531,"03/23/2022, 10:00:00",88.3499984741211,"03/23/2022, 09:32:00",88.77999877929688
ADX,-0.21993338633681897,18.30900001525879,"03/23/2022, 10:25:00",18.235000610351562,"03/23/2022, 10:47:00",18.290000915527344
AEFC,-0.14519960633376527,23.540000915527344,"03/23/2022, 09:58:00",23.5,"03/23/2022, 10:36:44",23.5
ACP,-0.1242476698182208,9.75,"03/23/2022, 10:45:00",9.6899995803833,"03/23/2022, 09:35:00",9.739999771118164
